Titulo;Ano;Avaliação Pedagógica;Caminho crítico;Categoria;UF;Municipio;Origem;Tipos ocorrências
SP - DIADEMA - Segurança Pública - Interdição via (Rodovia federal / Estadual);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Interdição via (Rodovia federal / Estadual);SP;SP - DIADEMA;RM;
RJ - RIO DE JANEIRO - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;RJ;RJ - RIO DE JANEIRO;RM;
RS - VENANCIO AIRES - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;RS;RS - VENANCIO AIRES;RM;
MG - BELO HORIZONTE - Malote - Perda ou extravio;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Perda ou extravio;MG;MG - BELO HORIZONTE;RM;
MA - TIMON - Malote - Atraso na entrega de malotes;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Atraso na entrega de malotes;MA;MA - TIMON;RM;
TO - SANTA FE DO ARAGUAIA - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;TO;TO - SANTA FE DO ARAGUAIA;RM;
RJ - RIO DE JANEIRO - Malote - Perda ou extravio;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Perda ou extravio;RJ;RJ - RIO DE JANEIRO;RM;
MG - DIVINOPOLIS - Malote - Atraso na entrega de malotes;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Atraso na entrega de malotes;MG;MG - DIVINOPOLIS;RM;
PA - ALTAMIRA - Malote - Atraso na entrega de malotes;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Atraso na entrega de malotes;PA;PA - ALTAMIRA;RM;
SP - DIADEMA - Segurança Pública - Interdição via (Rodovia federal / Estadual);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Interdição via (Rodovia federal / Estadual);SP;SP - DIADEMA;RM;
SP - DIADEMA - Segurança Pública - Interdição via (Rodovia federal / Estadual);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Interdição via (Rodovia federal / Estadual);SP;SP - DIADEMA;RM;
SP - DIADEMA - Segurança Pública - Interdição via (Rodovia federal / Estadual);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Interdição via (Rodovia federal / Estadual);SP;SP - DIADEMA;RM;
MS - CAMPO GRANDE - Aplicação - Identificação especial;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Identificação especial;MS;MS - CAMPO GRANDE;RM;
PA - BELEM - 9712 Escola Meu Pedacinho do Céu - Eliminação de Participantes - Recusa à coleta de dado biométrico;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Recusa à coleta de dado biométrico;PA;PA - BELEM;RM;
DF - BRASILIA - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;DF;DF - BRASILIA;RM;
DF - BRASILIA - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;DF;DF - BRASILIA;RM;
SC - FLORIANOPOLIS - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;SC;SC - FLORIANOPOLIS;RM;
MG - CONCEICAO DO MATO DENTRO - Abastecimento de Água;2016;Enem;2. Implementação - Aplicação do exame;Abastecimento de Água;MG;MG - CONCEICAO DO MATO DENTRO;RM;
MG - UNAI - 9543 Faculdade de Ciências da Saúde FACISA - Aplicação - Infraestrutura;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - UNAI;RM;
MG - UNAI - 9544 FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ FACTU - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - UNAI;RNC;
AL - AGUA BRANCA - 60068 EM JOSE GOMES DE LIMA - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;AL;AL - AGUA BRANCA;RNC;
MG - BELO HORIZONTE - 9509 CENTRO UNIVERSITÁRIO DE BELO HORIZONTE UNIBH CAMPUS ESTORIL BLOCOS B5 B6 B7 E B8 - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - BELO HORIZONTE;RNC;
MG - BELO HORIZONTE - 9509 CENTRO UNIVERSITÁRIO DE BELO HORIZONTE UNIBH CAMPUS ESTORIL BLOCOS B5 B6 B7 E B8 - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - BELO HORIZONTE;RNC;
PR - ALMIRANTE TAMANDARE - 60115 EM VEREADOR VICENTE KOCHANY - Segurança Pública - Perturbação sossego público;2016;Enem;2. Implementação - Aplicação do exame;Segurança Pública - Perturbação sossego público;PR;PR - ALMIRANTE TAMANDARE;RM;
PR - CURITIBA - 60153 UNIBRASIL - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;PR;PR - CURITIBA;RNC;
BA - FEIRA DE SANTANA - 9402 COLÉGIO VISÃO - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Quantidade de provas;BA;BA - FEIRA DE SANTANA;RNC;
MG - UNAI - 9543 Faculdade de Ciências da Saúde FACISA - Aplicação - Infraestrutura;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - UNAI;RM;
BA - SERRINHA - 9422 COLÉGIO EDUCARTE - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;BA;BA - SERRINHA;RNC;
MG - UBERLANDIA - 9581 CENTRO UNIVERSITÁRIO DO TRIÂNGULO - UNITRI - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - UBERLANDIA;RNC;
MG - BELO HORIZONTE - 9509 CENTRO UNIVERSITÁRIO DE BELO HORIZONTE UNIBH CAMPUS ESTORIL BLOCOS B5 B6 B7 E B8 - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;MG;MG - BELO HORIZONTE;RNC;
MG - UBERLANDIA - 9581 CENTRO UNIVERSITÁRIO DO TRIÂNGULO - UNITRI - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - UBERLANDIA;RNC;
BA - SERRINHA - 9422 COLÉGIO EDUCARTE - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;BA;BA - SERRINHA;RNC;
MG - BELO HORIZONTE - 9509 CENTRO UNIVERSITÁRIO DE BELO HORIZONTE UNIBH CAMPUS ESTORIL BLOCOS B5 B6 B7 E B8 - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - BELO HORIZONTE;RNC;
BA - JUAZEIRO - 9426 CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO SERTÃO DO SÃO FRANCISCO - Abastecimento de Água;2016;Enem;2. Implementação - Aplicação do exame;Abastecimento de Água;BA;BA - JUAZEIRO;RNC;
MG - OURO PRETO - 9621 ESCOLA ESTADUAL DE OURO PRETO - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - OURO PRETO;RNC;
MG - OURO PRETO - 9621 ESCOLA ESTADUAL DE OURO PRETO - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - OURO PRETO;RNC;
BA - ITABUNA - 9445 COLÉGIO DIVINA PROVIDÊNCIA - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Consulta de material;BA;BA - ITABUNA;RNC;
ES - CARIACICA - 9491 FACULDADE MULTIVIX CARIACICA E ESCOLA SÃO GERALDO - Abastecimento de Água;2016;Enem;2. Implementação - Aplicação do exame;Abastecimento de Água;ES;ES - CARIACICA;RNC;
BA - VALENCA - 9423 CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM SAÚDE DO LESTE BAIANO (CEEPS) - ANTIGO COESVA - Segurança Pública;2016;Enem;2. Implementação - Aplicação do exame;Segurança Pública - Perturbação sossego público;BA;BA - VALENCA;RNC;
MG - BELO HORIZONTE - 9515 PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS PUC MG CAMPUS CORAÇÃO EUCARÍSTICO - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - BELO HORIZONTE;RNC;
BA - ITABUNA - 9445 COLÉGIO DIVINA PROVIDÊNCIA - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Consulta de material;BA;BA - ITABUNA;RNC;
AL - ARAPIRACA - 60055 COL MULTIVISAO - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;AL;AL - ARAPIRACA;RNC;
MG - POCOS DE CALDAS - 9549 PUC MINAS CAMPUS POÇOS DE CALDAS - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;MG;MG - POCOS DE CALDAS;RNC;
PR - MARINGA - 60085 UNICESUMAR - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Porte de material proibido em edital;PR;PR - MARINGA;RNC;
MG - UNAI - 9544 FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ FACTU - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - UNAI;RNC;
MG - UNAI - 9544 FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ FACTU - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - UNAI;RNC;
ES - SERRA - 9603 FACULDADE BRASILEIRA (FABRA) - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;ES;ES - SERRA;RNC;
DF - BRASILIA - 9382 UNIPLAN - ÁGUAS CLARAS - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Porte de material proibido em edital;DF;DF - BRASILIA;RNC;
MG - BELO HORIZONTE - 9520 PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS PUC MG CAMPUS CORAÇÃO EUCARÍSTICO - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Porte de material proibido em edital;MG;MG - BELO HORIZONTE;RNC;
ES - SERRA - 9598 EMEF DOM HELDER PESSOA CÂMARA - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;ES;ES - SERRA;RNC;
MG - UNAI - 9544 FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ FACTU - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - UNAI;RNC;
PR - SAO JOSE DOS PINHAIS - 60140 FAC DA INDUSTRIA - IEL - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;PR;PR - SAO JOSE DOS PINHAIS;RNC;
MG - UNAI - 9544 FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ FACTU - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Saída antes do horário permitido;MG;MG - UNAI;RNC;
ES - SERRA - 9597 EMEF ALDARY NUNES - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Abertura e fechamento dos portões;ES;ES - SERRA;RNC;
AL - PALMEIRA DOS INDIOS - 60065 CENTRO EDUC CRISTO REDENTOR - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;AL;AL - PALMEIRA DOS INDIOS;RNC;
AL - PALMEIRA DOS INDIOS - 60065 CENTRO EDUC CRISTO REDENTOR - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;AL;AL - PALMEIRA DOS INDIOS;RNC;
DF - BRASILIA - 9382 UNIPLAN - ÁGUAS CLARAS - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Porte de material proibido em edital;DF;DF - BRASILIA;RNC;
MA - PINHEIRO - 9593 ESCOLA MUNICIPAL FILADELFO MENDES FILHO - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Abertura indevida;MA;MA - PINHEIRO;RNC;
PR - SAO JOSE DOS PINHAIS - 60136 FIEP SESI SENAI IEL - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;PR;PR - SAO JOSE DOS PINHAIS;RNC;
PR - SAO JOSE DOS PINHAIS - 60136 FIEP SESI SENAI IEL - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Porte de equipamento eletrônico e/ou de comunicação;PR;PR - SAO JOSE DOS PINHAIS;RNC;
RJ - NITEROI - 60082 COL LA SALLE ENSINO MEDIO - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;RJ;RJ - NITEROI;RM;
MG - BELO HORIZONTE - 9524 UNA Campus Liberdade - Segurança Pública - Manifestações (Previsão / Monitoramento);2016;Enem;2. Implementação - Aplicação do exame;Segurança Pública - Manifestações (Previsão / Monitoramento);MG;MG - BELO HORIZONTE;RM;
ES - SERRA - 9603 FACULDADE BRASILEIRA (FABRA) - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Abertura e fechamento dos portões;ES;ES - SERRA;RNC;
GO - GOIANIA - 9351 UNIVERSIDADE PAULISTA (UNIP) - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;GO;GO - GOIANIA;RNC;
BA - BARREIRAS - 9392 COLÉGIO SÃO JOSÉ - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Integridade do cadeado eletrônico;BA;BA - BARREIRAS;RNC;
BA - BARREIRAS - 9392 COLÉGIO SÃO JOSÉ - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Integridade do cadeado eletrônico;BA;BA - BARREIRAS;RNC;
PR - CURITIBA - 60147 FAPAR - FAC PARANAENSE - Segurança Pública - Outras ocorrências relevantes;2016;Enem;2. Implementação - Aplicação do exame;Segurança Pública - Outras ocorrências relevantes;PR;PR - CURITIBA;RM;
DF - BRASILIA - 9382 UNIPLAN - ÁGUAS CLARAS - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Documentação indevida;DF;DF - BRASILIA;RNC;
PR - CURITIBA - 60147 FAPAR - FAC PARANAENSE - Segurança Pública - Outras ocorrências relevantes;2016;Enem;2. Implementação - Aplicação do exame;Segurança Pública - Outras ocorrências relevantes;PR;PR - CURITIBA;RM;
MG - BELO HORIZONTE - 9515 PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS PUC MG CAMPUS CORAÇÃO EUCARÍSTICO - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;MG;MG - BELO HORIZONTE;RNC;
ES - SERRA - 9598 EMEF DOM HELDER PESSOA CÂMARA - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;ES;ES - SERRA;RNC;
RJ - NITEROI - 60082 COL LA SALLE ENSINO MEDIO - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;RJ;RJ - NITEROI;RM;
BA - GUANAMBI - 9437 Centro Estadual de Educação Profissional em Saúde e Gestão;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;BA;BA - GUANAMBI;RNC;
RS - SAO VICENTE DO SUL - 9335 EMEF COQUEIROS - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;RS;RS - SAO VICENTE DO SUL;RNC;
RS - SAO VICENTE DO SUL - 9336 Escola Municipal de Ensino Fundamental Doutor Ayres Cecconi;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;RS;RS - SAO VICENTE DO SUL;RNC;
BA - PAULO AFONSO - 9410 Colégio Estadual Polivalente de Paulo Afonso - Malote - Vunerabilidade;2016;Enem;2. Implementação - Aplicação do exame;Malote - Vunerabilidade;BA;BA - PAULO AFONSO;RM;
MA - PINHEIRO - 9594 UNIDADE ESCOLAR PRESIDENTE MÉDICI - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Integridade do lacre metálico;MA;MA - PINHEIRO;RNC;
PA - ALTAMIRA - 9462 SISTEMA MACHADO DE COMUNICAÇÃO LTDA-ME-UNOPAR - Aplicação - Infraestrutura;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;PA;PA - ALTAMIRA;RM;
SC - FLORIANOPOLIS - 60170 UNIV DO SUL DE SANTA CATARINA - UNISUL CENTRO - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;SC;SC - FLORIANOPOLIS;RM;
SC - FLORIANOPOLIS - 60170 UNIV DO SUL DE SANTA CATARINA - UNISUL CENTRO - Energia Elétrica;2016;Enem;2. Implementação - Aplicação do exame;Energia Elétrica;SC;SC - FLORIANOPOLIS;RM;
PB - SUME - 60012 EEEEFM JOSE GONÇALVES DE QUEIROZ - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Não recebido;PB;PB - SUME;RNC;
BA - BOM JESUS DA LAPA - 9394 ESCOLA PROMOVE - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Boletim de ocorrência;BA;BA - BOM JESUS DA LAPA;RNC;
DF - BRASILIA - 9381 UNIPLAN - ÁGUAS CLARAS - Eliminação de Participantes;2016;Enem;2. Implementação - Aplicação do exame;Eliminação de Participantes - Documentação indevida;DF;DF - BRASILIA;RNC;
PI - BOM JESUS - 9339 ESCOLA TÉCNICA KAMILA VARGAS - Aplicação;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;PI;PI - BOM JESUS;RNC;
SE - SAO CRISTOVAO - 9365 ESCOLA ESTADUAL ARMINDO GUARANÁ - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Operação reversa;SE;SE - SAO CRISTOVAO;RNC;
DF - BRASILIA - 9388 FACULDADE JK - GAMA - UNIDADE II - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Operação reversa;DF;DF - BRASILIA;RNC;
DF - BRASILIA - 9388 FACULDADE JK - GAMA - UNIDADE II - Malote;2016;Enem;2. Implementação - Aplicação do exame;Malote - Operação reversa;DF;DF - BRASILIA;RNC;
